,0
label_Automotive,1
label_Automotive>Auto Body Styles,0
label_Automotive>Auto Body Styles>Off-Road Vehicles,0
label_Automotive>Auto Body Styles>SUV,0
label_Automotive>Auto Body Styles>Sedan,0
label_Automotive>Auto Body Styles>Van,0
label_Automotive>Auto Buying and Selling,1
label_Automotive>Auto Insurance,0
label_Automotive>Auto Parts,0
label_Automotive>Auto Rentals,0
label_Automotive>Auto Repair,0
label_Automotive>Auto Safety,0
label_Automotive>Auto Shows,0
label_Automotive>Auto Technology,0
label_Automotive>Auto Type>Classic Cars,0
label_Automotive>Auto Type>Driverless Cars,0
label_Automotive>Auto Type>Green Vehicles,0
label_Automotive>Car Culture,1
label_Automotive>Motorcycles,0
label_Automotive>Scooters,0
label_Books and Literature,1
label_Books and Literature>Art and Photography Books,0
label_Books and Literature>Children's Literature,0
label_Books and Literature>Poetry,1
label_Books and Literature>Travel Books,0
label_Business And Finance>Business>Consumer Issues>Recalls,0
label_Business And Finance>Business>Executive Leadership & Management,0
label_Business And Finance>Business>Government Business,0
label_Business And Finance>Business>Green Solutions,0
label_Business and Finance,1
label_Business and Finance>Business,0
label_Business and Finance>Business>Business Accounting & Finance,0
label_Business and Finance>Business>Business Administration,0
label_Business and Finance>Business>Business Banking & Finance>Angel Investment,0
label_Business and Finance>Business>Business Banking & Finance>Bankruptcy,0
label_Business and Finance>Business>Business Operations,1
label_Business and Finance>Business>Human Resources,2
label_Business and Finance>Business>Large Business,0
label_Business and Finance>Business>Logistics,0
label_Business and Finance>Business>Marketing and Advertising,0
label_Business and Finance>Business>Sales,2
label_Business and Finance>Business>Startups,0
label_Business and Finance>Economy>Commodities,0
label_Business and Finance>Economy>Currencies,2
label_Business and Finance>Economy>Housing Market,0
label_Business and Finance>Industries,1
label_Business and Finance>Industries>Advertising Industry,0
label_Business and Finance>Industries>Agriculture,0
label_Business and Finance>Industries>Apparel Industry,0
label_Business and Finance>Industries>Automotive Industry,1
label_Business and Finance>Industries>Aviation Industry,2
label_Business and Finance>Industries>Biotech and Biomedical Industry,0
label_Business and Finance>Industries>Civil Engineering Industry,0
label_Business and Finance>Industries>Construction Industry,1
label_Business and Finance>Industries>Defense Industry,0
label_Business and Finance>Industries>Education industry,0
label_Business and Finance>Industries>Entertainment Industry,1
label_Business and Finance>Industries>Financial Industry,0
label_Business and Finance>Industries>Food Industry,0
label_Business and Finance>Industries>Healthcare Industry,0
label_Business and Finance>Industries>Hospitality Industry,5
label_Business and Finance>Industries>Legal Services Industry,0
label_Business and Finance>Industries>Logistics and Transportation Industry,4
label_Business and Finance>Industries>Management Consulting Industry,0
label_Business and Finance>Industries>Manufacturing Industry,1
label_Business and Finance>Industries>Mechanical and Industrial Engineering Industry,0
label_Business and Finance>Industries>Media Industry,0
label_Business and Finance>Industries>Pharmaceutical Industry,0
label_Business and Finance>Industries>Power and Energy Industry,1
label_Business and Finance>Industries>Publishing Industry,4
label_Business and Finance>Industries>Retail Industry,15
label_Business and Finance>Industries>Technology Industry,0
label_Business and Finance>Industries>Telecommunications Industry,0
label_Careers,0
label_Careers>Apprenticeships,0
label_Careers>Career Planning,0
label_Careers>Job Search,0
label_Education,8
label_Education>College Education,0
label_Education>College Education>Postgraduate Education,0
